direction_label,target_fraction,macro_f1_gain_vs_target_only,attack_f1_gain_vs_target_only,attack_recall_gain_vs_target_only,accuracy_gain_vs_target_only
IoT-23 -> UNSW-NB15,0.05,0.02070516049661064,0.012583311909640682,-0.028494722069680734,0.019000000000000017
IoT-23 -> UNSW-NB15,0.1,0.0029265222013143966,0.002647771620471806,0.0027457440966501823,0.0029000000000000137
IoT-23 -> UNSW-NB15,0.25,-0.004200558970032797,-0.0035050753855966343,-0.0014033803160657943,-0.0040999999999999925
IoT-23 -> UNSW-NB15,0.5,0.0033819616404665576,0.0029756160224154726,0.0028067606321311445,0.0033333333333331883
IoT-23 -> UNSW-NB15,1.0,0.0005492202644648003,0.00028392812651156785,-0.001586429922509236,0.000500000000000167
UNSW-NB15 -> IoT-23,0.05,7.076866715360897e-05,9.680795369115813e-06,0.0,2.0000000000020002e-05
UNSW-NB15 -> IoT-23,0.1,0.0,0.0,0.0,0.0
UNSW-NB15 -> IoT-23,0.25,0.0,0.0,0.0,0.0
UNSW-NB15 -> IoT-23,0.5,0.0,0.0,0.0,0.0
UNSW-NB15 -> IoT-23,1.0,0.0,0.0,0.0,0.0
