direction_label,target_fraction,accuracy_Target Only (Updated),accuracy_Transfer Learning (Updated),f1_attack_Target Only (Updated),f1_attack_Transfer Learning (Updated),f1_macro_Target Only (Updated),f1_macro_Transfer Learning (Updated),recall_attack_Target Only (Updated),recall_attack_Transfer Learning (Updated),selected_threshold_Target Only (Updated),selected_threshold_Transfer Learning (Updated)
IoT-23 -> UNSW-NB15,0.05,0.8814,0.9004,0.896755847019906,0.9093391589295466,0.8787170260238538,0.8994221865204645,0.9428275062541948,0.914332784184514,0.4,0.5
IoT-23 -> UNSW-NB15,0.1,0.9077333333333332,0.9106333333333332,0.9159939301972686,0.9186417018177404,0.9068324549322756,0.90975897713359,0.9208005369455122,0.9235462810421624,0.5,0.5
IoT-23 -> UNSW-NB15,0.25,0.9066666666666666,0.9025666666666666,0.9155609167671894,0.9120558413815928,0.9056195045832968,0.901418945613264,0.9262310086033316,0.9248276282872658,0.5,0.5
IoT-23 -> UNSW-NB15,0.5,0.9033666666666668,0.9067,0.9131541895090022,0.9161298055314177,0.9021235089699112,0.9055054706103778,0.9299530172676796,0.9327597778998108,0.5,0.5
IoT-23 -> UNSW-NB15,1.0,0.9075333333333332,0.9080333333333334,0.916324806949807,0.9166087350763186,0.9065011996608392,0.907050419925304,0.9267801574226616,0.9251937275001524,0.5,0.5
UNSW-NB15 -> IoT-23,0.05,0.69672,0.69674,0.821250913548813,0.8212605943441821,0.4106913937386686,0.4107621624058222,0.999913887134738,0.999913887134738,0.2,0.2
UNSW-NB15 -> IoT-23,0.1,0.69676,0.69676,0.8212702753677857,0.8212702753677857,0.4108329224940194,0.4108329224940194,0.999913887134738,0.999913887134738,0.1,0.1
UNSW-NB15 -> IoT-23,0.25,0.69678,0.69678,0.8212799566196319,0.8212799566196319,0.4109036740049837,0.4109036740049837,0.999913887134738,0.999913887134738,0.4,0.3
UNSW-NB15 -> IoT-23,0.5,0.69676,0.69676,0.8212702753677857,0.8212702753677857,0.4108329224940194,0.4108329224940194,0.999913887134738,0.999913887134738,0.2,0.1
UNSW-NB15 -> IoT-23,1.0,0.6959,0.6959,0.8206682628233102,0.8206682628233102,0.4105970644294688,0.4105970644294688,0.9986508984442276,0.9986508984442276,0.2,0.2
